name,origin,fitness,trainR,testR,sharpe,mdd,trades,exposure
BBreak_n13_k1.25_h5,mut,1.268614684876032,-0.08514906855000008,0.11287275432500059,1.2351850084933336,-0.04601340155960365,10,0.588
BBreak_n15_k1.2_h3,mut,1.1348579440508,-0.06979479610000039,0.105291858375,1.1082735365956422,-0.05212304346468488,9,0.596
BBreak_n9_k1.19_h5,mut,0.8378715067242214,-0.1913129900750001,0.09294583849999981,0.8361406633422372,-0.08948415173603141,12,0.728
BBreak_n12_k1.06_h7,mut,1.6487424356142033,-0.12496144794999971,0.15298024555000025,1.5952666666145487,-0.046028707550691106,9,0.6
BBreak_n11_k1.2_h5,mut,0.8927031589576553,-0.1651520898750001,0.09623803319999992,0.8827449580146896,-0.07632163131406855,11,0.716
BBreak_n12_k1.47_h3,mut,1.4237223230238232,-0.0013312037250002321,0.11871948977500041,1.3839812822440256,-0.039237408215405556,9,0.524
BBreak_n10_k1.51_h4,mut,0.6053167203286625,-0.18223725732499965,0.059877719525000137,0.6133559045369481,-0.0759560879415716,10,0.628
BBreak_n15_k1.24_h4,mut,0.9990812843003269,-0.0425866773250005,0.09140635612500002,0.9794297093334712,-0.05210320619128817,9,0.592
BBreak_n9_k1.05_h3,mut,0.7133616027432775,-0.18546197245000015,0.07258407270000025,0.7254654785510203,-0.09679182431548572,14,0.6560000000000001
BBreak_n13_k1.51_h6,mut,1.4320510172123733,-0.058684998225000166,0.12202445617500038,1.393684687561772,-0.04529179687379847,8,0.532
BBreak_n11_k1.06_h4,mut,0.6657811459830538,-0.16669860545000018,0.07036719494999998,0.6687583641650882,-0.07632163131406855,12,0.708
BBreak_n17_k0.99_h5,mut,0.9245592840002987,-0.01343586855000016,0.08412443737000007,0.9154436207094214,-0.06589311078824533,9,0.588
BBreak_n9_k1.3_h7,mut,1.2940343247122041,-0.11587857130000004,0.13555047340000004,1.2651072914955799,-0.07769640696675151,11,0.6560000000000001
BBreak_n9_k1.53_h3,mut,0.551757256696678,-0.11828849362500012,0.046229309775000005,0.5672540210905265,-0.07722283856269707,13,0.516
BBreak_n10_k1.31_h4,mut,0.7624908368305483,-0.18543772459999977,0.07809014344999975,0.7622939685889243,-0.07769640696675151,11,0.6679999999999999
BBreak_n10_k1.51_h7,mut,0.6333009292589469,-0.21617606119999982,0.06290617377500035,0.6398258863422326,-0.0759560879415716,10,0.64
BBreak_n9_k1.32_h6,mut,1.2253909046435922,-0.14124101497499972,0.12751801305000016,1.200480101601968,-0.07769640696675151,11,0.64
BBreak_n13_k1.07_h5,mut,1.53230448274794,-0.05687462374999988,0.13778767822000068,1.4851197571182002,-0.043418226960521104,10,0.588
BBreak_n13_k1.19_h5,mut,1.3283655045915523,-0.08514906855000008,0.11874656042500063,1.291998925158854,-0.04601340155960365,10,0.592
BBreak_n14_k1.51_h3,mut,1.2448254151300646,-0.010297732625000208,0.10371804987500015,1.2156320619580245,-0.04533134353092039,8,0.528
BBreak_n10_k1.27_h7,mut,1.136664094714233,-0.17431875514999992,0.12161644125000036,1.1147040775726085,-0.07769640696675151,10,0.68
BBreak_n11_k1.51_h3,mut,1.1526371103781683,-0.13109553892499987,0.09151886604999993,1.1291891315681206,-0.044622908429904795,10,0.512
BBreak_n14_k1.12_h6,mut,1.4204978686879348,-0.07016463155000034,0.1292260410250003,1.3788915489552365,-0.04601340155960365,8,0.588
BBreak_n10_k1.51_h4,mut,0.6053167203286625,-0.18223725732499965,0.059877719525000137,0.6133559045369481,-0.0759560879415716,10,0.628
BBreak_n10_k1.48_h7,mut,0.864825710676469,-0.21617606119999982,0.08994725765000025,0.8580128975085032,-0.07632163131406855,10,0.676
BBreak_n13_k1.12_h4,mut,1.3161594508276862,-0.06657323932499988,0.11456236277000047,1.281930292629361,-0.046104046373350416,10,0.58
BBreak_n12_k1.36_h5,mut,1.8072170119359399,-0.043114574524999914,0.15979601140000044,1.7469797863040164,-0.0393215601361534,8,0.544
BBreak_n13_k1.49_h3,mut,1.2213115254120153,-0.010297732625000208,0.1013914525250002,1.1932814709149753,-0.04533134353092039,9,0.528
BBreak_n15_k1.45_h3,mut,1.05542121264489,-0.03867829460000037,0.09270254652500022,1.036782416256858,-0.05542495374893597,8,0.552
BBreak_n16_k1.28_h6,mut,0.9899102560183185,-0.030678202650000166,0.09081157132000009,0.977410580960628,-0.06581222120461905,8,0.588
BBreak_n10_k1.0_h4,mut,0.43689204266174936,-0.17450190040000002,0.05117712934999973,0.4619435661398515,-0.101280176306204,12,0.792
BBreak_n14_k1.3_h4,mut,1.0763581227786363,-0.07016463155000034,0.09435213567500032,1.0556650667279246,-0.05296602357357704,9,0.58
BBreak_n11_k0.98_h5,mut,0.8927031589576553,-0.1665213304500001,0.09623803319999992,0.8827449580146896,-0.07632163131406855,11,0.716
BBreak_n14_k1.08_h4,mut,1.2041268062666695,-0.07016463155000034,0.10395038942000014,1.1752036347433445,-0.046104046373350416,9,0.572
BBreak_n12_k1.47_h4,mut,1.4237223230238232,-0.014124803725000239,0.11871948977500041,1.3839812822440256,-0.039237408215405556,9,0.524
BBreak_n9_k1.06_h5,mut,0.9750589547903781,-0.1913129900750001,0.10968055114999994,0.9649607550833939,-0.08948415173603141,12,0.732
BBreak_n12_k1.11_h3,mut,1.3775878982336147,-0.13889572942499973,0.12227080725000067,1.339775976817975,-0.04664696441872095,10,0.58
BBreak_n9_k1.47_h4,mut,0.7087309307654366,-0.14960082962500004,0.06234061092500023,0.716172044584285,-0.07722283856269707,13,0.56
BBreak_n16_k1.16_h4,mut,0.9245592840002987,-0.023209661350000244,0.08412443737000007,0.9154436207094214,-0.06589311078824533,9,0.588
BBreak_n9_k1.35_h6,mut,1.2253909046435922,-0.15285109675000028,0.12751801305000016,1.200480101601968,-0.07769640696675151,11,0.64
BBreak_n13_k1.47_h5,mut,1.4320510172123733,-0.04545294622500034,0.12202445617500038,1.393684687561772,-0.04529179687379847,8,0.532
BBreak_n9_k1.02_h5,mut,0.9750589547903781,-0.20403911387500004,0.10968055114999994,0.9649607550833939,-0.08948415173603141,12,0.732
BBreak_n13_k0.97_h7,mut,1.2395049293316467,-0.14638832914999977,0.12236401277000039,1.221129120883571,-0.08561239587384906,9,0.66
BBreak_n13_k0.98_h6,mut,1.2395049293316467,-0.14638832914999977,0.12236401277000039,1.221129120883571,-0.08561239587384906,9,0.66
BBreak_n14_k1.21_h5,mut,1.2819987688011056,-0.07016463155000034,0.11506696112500052,1.2499610117259852,-0.05099144697475966,8,0.584
BBreak_n10_k1.38_h5,mut,1.0099669582435666,-0.18530608827499978,0.10593201410000037,0.9951617668506009,-0.07632163131406855,10,0.672
