name,family,params,trainReturn,trainSharpe,trainMDD,trainTrades,trainExposure,testReturn,testSharpe,testMDD,testTrades,testExposure,fitness,feasible
BBreak_n41_k0.85_h1,BBreak,"{""n"": 41, ""k"": 0.85, ""h"": 1}",0.05867744398738717,0.2237658563357339,-0.16840489574226492,32,0.5343915343915344,0.1756575182987392,2.2054376652331165,-0.026518709451932354,3,0.496,-1000000000.0,0
BBreak_n40_k0.4_h3,BBreak,"{""n"": 40, ""k"": 0.4, ""h"": 3}",0.1690090283673804,0.46204192102139113,-0.18551962972366787,40,0.6044973544973545,0.14250274549590625,1.7699882650103729,-0.05033052030282603,9,0.54,-0.15787533061702108,1
BBreak_n40_k0.55_h8,BBreak,"{""n"": 40, ""k"": 0.55, ""h"": 8}",0.1911722968611851,0.5207791129872169,-0.17876859620436614,32,0.593915343915344,0.1569991732019138,1.9414718730920981,-0.03828082063137661,7,0.54,-1000000000.0,0
BBreak_n33_k0.46_h1,BBreak,"{""n"": 33, ""k"": 0.46, ""h"": 1}",0.029006451929197263,0.13836984806481054,-0.1421635828860931,50,0.5846560846560847,0.14051413467635276,1.7792202018928538,-0.0420437523556505,15,0.528,-0.8396420732508383,1
BBreak_n39_k0.54_h1,BBreak,"{""n"": 39, ""k"": 0.54, ""h"": 1}",0.14524808233855424,0.421969874866339,-0.13788059335236214,42,0.5701058201058201,0.14636977999800704,1.833859546099293,-0.047116169476922765,7,0.52,-1000000000.0,0
BBreak_n36_k0.4_h3,BBreak,"{""n"": 36, ""k"": 0.4, ""h"": 3}",0.20976352214339444,0.5489955542627365,-0.10735681140937858,44,0.58994708994709,0.13978101885751526,1.7427447200686106,-0.054992930995143574,11,0.532,1.0934959220387,1
BBreak_n46_k0.67_h1,BBreak,"{""n"": 46, ""k"": 0.67, ""h"": 1}",0.12377723026153209,0.38815195562315347,-0.1548367043929536,28,0.5687830687830688,0.13821004412054316,1.7252430678875863,-0.053271351797621325,5,0.52,-1000000000.0,0
BBreak_n38_k0.7_h3,BBreak,"{""n"": 38, ""k"": 0.7, ""h"": 3}",0.07583132789543412,0.2601491081367537,-0.16956618494876474,38,0.548941798941799,0.16238234572809662,2.0327186104671418,-0.03380622774990316,5,0.5,-1000000000.0,0
BBreak_n34_k0.76_h3,BBreak,"{""n"": 34, ""k"": 0.76, ""h"": 3}",0.10446178108928805,0.3219683393372362,-0.12128925920607891,40,0.5568783068783069,0.15151520250505168,1.9249657737853565,-0.03105638203944383,9,0.492,-1000000000.0,0
BBreak_n23_k0.4_h7,BBreak,"{""n"": 23, ""k"": 0.4, ""h"": 7}",0.12403226329920747,0.3567007251807392,-0.1504311482582209,52,0.6097883597883598,0.04518748713914622,0.5449243182792928,-0.09612529626742583,15,0.608,-9.162677223473255,1
BBreak_n24_k0.59_h7,BBreak,"{""n"": 24, ""k"": 0.59, ""h"": 7}",0.14535561730764757,0.4097378309248851,-0.1208750227921398,46,0.5873015873015873,0.08957183768714216,1.092052650674447,-0.06745314563372595,11,0.556,-3.3991189826404185,1
BBreak_n38_k0.79_h2,BBreak,"{""n"": 38, ""k"": 0.79, ""h"": 2}",0.06837358829598461,0.24286051224470287,-0.15209762021337014,36,0.5383597883597884,0.1610893612685229,2.0178442917006683,-0.03451333354091557,5,0.492,-1000000000.0,0
BBreak_n44_k0.91_h3,BBreak,"{""n"": 44, ""k"": 0.91, ""h"": 3}",0.07791889949013364,0.2722064465189032,-0.17860558693453032,28,0.5555555555555556,0.15343569959353176,1.9131698109552067,-0.04060711262806116,3,0.504,-1000000000.0,0
BBreak_n33_k0.55_h4,BBreak,"{""n"": 33, ""k"": 0.55, ""h"": 4}",0.1370303547372662,0.3889755814749854,-0.10735681140937803,42,0.5912698412698413,0.11902375169922963,1.4724023780790285,-0.05818007699483674,13,0.532,-1.1267939758966554,1
BBreak_n33_k0.74_h1,BBreak,"{""n"": 33, ""k"": 0.74, ""h"": 1}",0.09111207493901596,0.2912227702197047,-0.1212892592060788,40,0.5542328042328042,0.15542465596315425,1.9685056964391,-0.03145744583142751,11,0.5,2.315135036835562,1
BBreak_n27_k0.4_h2,BBreak,"{""n"": 27, ""k"": 0.4, ""h"": 2}",0.041101707899483975,0.16767450966690237,-0.12374060037548196,48,0.5925925925925926,0.107133970879564,1.30281299909211,-0.05876891287249275,17,0.552,-3.5581320758928463,1
