timestamp,position,price,equity
2020-01-02,0,324.87,1.0
2020-01-03,0,322.41,1.0
2020-01-06,0,323.64,1.0
2020-01-07,0,322.73,1.0
2020-01-08,0,324.45,1.0
2020-01-09,0,326.65,1.0
2020-01-10,0,325.71,1.0
2020-01-13,0,327.95,1.0
2020-01-14,0,327.45,1.0
2020-01-15,0,328.19,1.0
2020-01-16,0,330.92,1.0
2020-01-17,0,331.95,1.0
2020-01-21,0,331.3,1.0
2020-01-22,0,331.34,1.0
2020-01-23,0,331.72,1.0
2020-01-24,0,328.77,1.0
2020-01-27,0,323.5,1.0
2020-01-28,0,326.89,1.0
2020-01-29,0,326.62,1.0
2020-01-30,0,327.68,1.0
2020-01-31,0,321.73,1.0
2020-02-03,0,324.12,1.0
2020-02-04,0,329.06,1.0
2020-02-05,0,332.86,1.0
2020-02-06,0,333.98,1.0
2020-02-07,0,332.2,1.0
2020-02-10,0,334.68,1.0
2020-02-11,0,335.26,1.0
2020-02-12,0,337.42,1.0
2020-02-13,0,337.06,1.0
2020-02-14,0,337.6,1.0
2020-02-18,0,336.73,1.0
2020-02-19,0,338.34,1.0
2020-02-20,0,336.95,1.0
2020-02-21,0,333.48,1.0
2020-02-24,0,322.42,1.0
2020-02-25,0,312.65,1.0
2020-02-26,0,311.5,1.0
2020-02-27,0,297.51,1.0
2020-02-28,0,296.26,1.0
2020-03-02,0,309.09,1.0
2020-03-03,0,300.24,1.0
2020-03-04,0,312.86,1.0
2020-03-05,0,302.46,1.0
2020-03-06,0,297.46,1.0
2020-03-09,0,274.23,1.0
2020-03-10,0,288.42,1.0
2020-03-11,0,274.36,1.0
2020-03-12,0,248.11,1.0
2020-03-13,0,269.32,1.0
2020-03-16,0,239.85,1.0
2020-03-17,0,252.8,1.0
2020-03-18,0,240.0,1.0
2020-03-19,0,240.51,1.0
2020-03-20,0,228.8,1.0
2020-03-23,0,222.95,1.0
2020-03-24,0,243.15,1.0
2020-03-25,0,246.79,1.0
2020-03-26,0,261.2,1.0
2020-03-27,0,253.42,1.0
2020-03-30,0,261.65,1.0
2020-03-31,0,257.75,1.0
2020-04-01,0,246.15,1.0
2020-04-02,0,251.83,1.0
2020-04-03,0,248.19,1.0
2020-04-06,0,264.86,1.0
2020-04-07,0,265.13,1.0
2020-04-08,0,274.03,1.0
2020-04-09,0,278.2,1.0
2020-04-13,0,275.66,1.0
2020-04-14,1,283.79,0.9995
2020-04-15,1,277.76,0.9782625180591281
2020-04-16,1,279.1,0.982981958490433
2020-04-17,1,286.64,1.0095376158427003
2020-04-20,1,281.59,0.9917516649635291
2020-04-21,1,273.04,0.9616388174354275
2020-04-22,1,279.1,0.9829819584904329
2020-04-23,1,279.08,0.9829115190810103
2020-04-24,1,282.97,0.996611984213679
2020-04-27,1,287.05,1.0109816237358609
2020-04-28,1,285.73,1.0063326227139786
2020-04-29,1,293.21,1.0326769618379785
2020-04-30,1,290.48,1.0230619824518128
2020-05-01,1,282.79,0.9959780295288768
2020-05-04,1,283.57,0.9987251664963527
2020-05-05,1,286.19,1.0079527291306951
2020-05-06,1,284.25,1.0011201064167166
2020-05-07,1,287.68,1.0132004651326685
2020-05-08,1,292.44,1.0299650445752142
2020-05-11,1,292.5,1.0301763628034817
2020-05-12,1,286.67,1.0096432749568347
2020-05-13,0,281.6,0.991290991225907
2020-05-14,0,284.97,0.991290991225907
2020-05-15,0,286.28,0.991290991225907
2020-05-18,1,295.0,0.9907953457302942
2020-05-19,1,291.97,0.9806187020097423
2020-05-20,1,296.93,0.9972774983311736
2020-05-21,1,294.88,0.9903923103354207
2020-05-22,1,295.44,0.9922731421781631
2020-05-26,1,299.08,1.0044985491559877
2020-05-27,1,303.53,1.0194444450492073
2020-05-28,1,302.97,1.0175636132064652
2020-05-29,1,304.32,1.02209776139879
2020-06-01,1,305.55,1.0262288741962418
