year,return_,vol,sharpe,mdd,trades,bh_return,bh_vol,bh_sharpe,bh_mdd
2020,0.17525809277326698,0.16315190134162552,1.0677562297180343,-0.08040803157949494,21,0.15086034413765503,0.3343610702934857,0.5875128142050013,-0.34104746704498423
2021,0.06745364744529292,0.08507204982833526,0.6488736048959259,-0.04863907695191283,26,0.2878874156023752,0.13079531017749826,1.8958755119994888,-0.05417153953088116
2022,-0.09432696332074386,0.12302378841952735,-0.6995468292083846,-0.13243787026469023,19,-0.19945155010361926,0.24220293970058457,-0.7766509125126473,-0.2536057440706704
