name,family,params,trainReturn,trainSharpe,trainMDD,trainTrades,trainExposure,testReturn,testSharpe,testMDD,testTrades,testExposure,fitness,feasible
BBreak_n21_k0.81_h3,BBreak,"{""n"": 21, ""k"": 0.81, ""h"": 3}",0.6902101374707399,0.9453002399146271,-0.1995714328339354,36,0.47883597883597884,0.1021851990565592,0.7198560018410761,-0.15391631980501408,14,0.644,-6.2807562451304735,1
BBreak_n9_k0.46_h1,BBreak,"{""n"": 9, ""k"": 0.46, ""h"": 1}",0.38098266548625204,0.6085476963055102,-0.2283213308362554,98,0.5105820105820106,0.2585797191480317,1.6010335982833157,-0.07815878139527055,38,0.628,0.0359041918062728,1
BBreak_n8_k1.01_h3,BBreak,"{""n"": 8, ""k"": 1.01, ""h"": 3}",0.375087308417533,0.6089622406357255,-0.20888276857895527,90,0.46825396825396826,0.23939422883169525,1.533641630168157,-0.0790104255179841,38,0.568,-0.4253318995034969,1
BBreak_n21_k0.83_h4,BBreak,"{""n"": 21, ""k"": 0.83, ""h"": 4}",0.6822786570693857,0.9377992276677934,-0.19957143283393497,36,0.4775132275132275,0.1021851990565592,0.7198560018410761,-0.15391631980501408,14,0.644,-6.361571251593373,1
BBreak_n17_k1.78_h5,BBreak,"{""n"": 17, ""k"": 1.78, ""h"": 5}",0.7593878858778125,1.1229784277515302,-0.1375260779156694,28,0.3862433862433862,0.043439463227815445,0.40557111921590916,-0.10704661334800503,14,0.468,-1000000000.0,0
BBreak_n10_k0.97_h6,BBreak,"{""n"": 10, ""k"": 0.97, ""h"": 6}",0.582928862157911,0.8356145074670845,-0.2371925891452321,64,0.5079365079365079,0.2547500843325796,1.4835963713324927,-0.10976717909518285,22,0.648,1.0374415442980955,1
BBreak_n18_k1.83_h12,BBreak,"{""n"": 18, ""k"": 1.83, ""h"": 12}",0.9112766580789169,1.2014727059826833,-0.1730741647773063,26,0.42328042328042326,0.11608309727267008,0.9106723765214746,-0.09261798031358237,12,0.476,-1000000000.0,0
BBreak_n7_k2.07_h9,BBreak,"{""n"": 7, ""k"": 2.07, ""h"": 9}",0.2590390376077376,0.6588960432409315,-0.17953820183867952,24,0.20105820105820105,0.11738259863788048,1.395953332652954,-0.04309596147906136,8,0.196,-1000000000.0,0
BBreak_n8_k0.49_h4,BBreak,"{""n"": 8, ""k"": 0.49, ""h"": 4}",0.3667460494249506,0.5635311252907822,-0.23662744304936922,96,0.5542328042328042,0.2968151757048956,1.795628362212195,-0.09177491721750708,38,0.608,0.33879769094878087,1
BBreak_n15_k1.6_h5,BBreak,"{""n"": 15, ""k"": 1.6, ""h"": 5}",1.0447921440378813,1.375325499584231,-0.1375260779156694,32,0.39021164021164023,0.15368393652308932,1.1104316137252193,-0.1019467634087623,20,0.552,4.619114491872866,1
BBreak_n14_k1.83_h7,BBreak,"{""n"": 14, ""k"": 1.83, ""h"": 7}",0.8307201265449446,1.2013408017439817,-0.14922294004692938,30,0.3862433862433862,0.11056169168181529,0.9107338625488547,-0.09352081760031605,16,0.468,-1000000000.0,0
BBreak_n16_k1.07_h9,BBreak,"{""n"": 16, ""k"": 1.07, ""h"": 9}",0.8187129297213733,1.0549021642651049,-0.20241752094683407,40,0.4933862433862434,0.16401081075305113,1.0983699911491913,-0.1106939755629861,18,0.648,0.7857294774923704,1
BBreak_n9_k1.25_h13,BBreak,"{""n"": 9, ""k"": 1.25, ""h"": 13}",0.6824949131143598,0.8428910540341285,-0.3016920955242365,46,0.5859788359788359,0.1652275828467713,1.004905894799791,-0.16447997280485893,22,0.696,-7.3750706065985785,1
BBreak_n3_k1.3_h8,BBreak,"{""n"": 3, ""k"": 1.3, ""h"": 8}",0.14551564364960345,0.3010183798515719,-0.4467265504740223,106,0.6494708994708994,0.21941723219044307,1.3414924056854862,-0.13405753296675205,35,0.692,-12.81673688303471,1
BBreak_n14_k0.82_h10,BBreak,"{""n"": 14, ""k"": 0.82, ""h"": 10}",0.7552633105402717,0.9533824683584865,-0.25368028250672836,46,0.541005291005291,0.28591725010140867,1.7436104006197848,-0.09397678602226933,20,0.66,5.577753148324232,1
BBreak_n10_k0.68_h2,BBreak,"{""n"": 10, ""k"": 0.68, ""h"": 2}",0.5013414958464573,0.7597103578701994,-0.21153206311549888,76,0.48677248677248675,0.28581511084413447,1.7459669041109662,-0.07934488403230078,26,0.636,4.090386600082322,1
BBreak_n14_k1.69_h6,BBreak,"{""n"": 14, ""k"": 1.69, ""h"": 6}",0.8072025445114019,1.1664816752954257,-0.140893000465255,32,0.3955026455026455,0.13930557877009453,1.0186536601816574,-0.10994702505207865,18,0.552,1.029533676338649,1
