name,family,params,trainReturn,trainSharpe,trainMDD,trainTrades,trainExposure,testReturn,testSharpe,testMDD,testTrades,testExposure,fitness,feasible
BBreak_n12_k0.53_h6,BBreak,"{""n"": 12, ""k"": 0.53, ""h"": 6}",0.5380342524020318,0.7307885986310978,-0.24535231749720832,64,0.5608465608465608,0.2979464621918617,1.8137167608357478,-0.07815878139527044,20,0.648,5.108958939899465,1
BBreak_n20_k0.79_h3,BBreak,"{""n"": 20, ""k"": 0.79, ""h"": 3}",0.7685649830032375,1.0092450432706468,-0.18409883950437333,38,0.4880952380952381,0.19148592231064665,1.2729014971399772,-0.11019275702213605,16,0.64,2.128801375907801,1
BBreak_n39_k0.61_h8,BBreak,"{""n"": 39, ""k"": 0.61, ""h"": 8}",0.7183006176331959,0.9323459226632157,-0.23133968593342136,24,0.5238095238095238,0.2686860049720665,1.8238981031883994,-0.09049361857340166,3,0.58,-1000000000.0,0
BBreak_n7_k0.54_h5,BBreak,"{""n"": 7, ""k"": 0.54, ""h"": 5}",0.6253439805733072,0.7731861515858055,-0.24160652899256307,106,0.6071428571428571,0.2647937978321182,1.6124489042498789,-0.11093803094460764,38,0.616,-0.21623154353156943,1
BBreak_n19_k1.16_h2,BBreak,"{""n"": 19, ""k"": 1.16, ""h"": 2}",0.6944773124334416,0.9771586755585404,-0.185579725695996,38,0.44576719576719576,0.18844581188406706,1.2819962595040393,-0.11251580879166168,14,0.616,1.235716924100981,1
BBreak_n40_k0.76_h10,BBreak,"{""n"": 40, ""k"": 0.76, ""h"": 10}",0.8334594047902268,1.03895874914382,-0.20752097981254258,20,0.5105820105820106,0.2686860049720665,1.8238981031883994,-0.09049361857340166,3,0.58,-1000000000.0,0
BBreak_n31_k0.79_h6,BBreak,"{""n"": 31, ""k"": 0.79, ""h"": 6}",0.6525626830735765,0.8802191522577375,-0.2158339771358142,30,0.5013227513227513,0.24222809167285075,1.629900883541213,-0.07452557748501965,5,0.608,-1000000000.0,0
BBreak_n5_k1.49_h4,BBreak,"{""n"": 5, ""k"": 1.49, ""h"": 4}",-0.0858555122084208,-0.06421546077389853,-0.2993647608687132,94,0.3783068783068783,0.007784850929803078,0.12518506614746627,-0.14354894290253328,40,0.48,-1000000000.0,0
BBreak_n32_k0.94_h4,BBreak,"{""n"": 32, ""k"": 0.94, ""h"": 4}",0.6697929346861939,0.912004266549728,-0.21848004753633,26,0.5013227513227513,0.19292875284734579,1.3484919482347688,-0.09049361857340177,7,0.592,-1000000000.0,0
BBreak_n18_k1.74_h7,BBreak,"{""n"": 18, ""k"": 1.74, ""h"": 7}",0.8860798120029638,1.2289896076199527,-0.14922294004692915,28,0.40343915343915343,0.20170635463803888,1.411412723455157,-0.08547304047168669,14,0.512,6.849530219017642,1
