year,strat_return,strat_vol,strat_sharpe,strat_mdd,strat_trades,bh_return,bh_vol,bh_sharpe,bh_mdd
2020,0.6713928212964935,0.2739281925206038,2.013557730173644,-0.11504895681613247,13,0.7824525792774915,0.46597311168580874,1.4750211032488296,-0.31426264977092
2021,0.2628774042045374,0.18767882653597465,1.343019894372943,-0.09466365656067566,20,0.3805395142789336,0.24961157226601677,1.4226557772197521,-0.18605150061139986
2022,-0.25288523292402143,0.24487704092648468,-1.076372143148342,-0.32089190150994884,17,-0.28198548731537687,0.3560045435473748,-0.7598475743154959,-0.30348617493487184
