timestamp,open,high,low,close,volume
2023-12-29,476.4900,477.0300,473.3000,475.3100,122283149
2023-12-28,476.8800,477.5500,476.2600,476.6900,77158116
2023-12-27,475.4400,476.6600,474.8900,476.5100,63874396
2023-12-26,474.0700,476.5800,473.9900,475.6500,55386952
2023-12-22,473.8600,475.3800,471.7000,473.6500,67160419
2023-12-21,471.3300,472.9750,468.8400,472.7000,86667465
2023-12-20,473.9600,475.8950,467.8200,468.2600,102920959
2023-12-19,472.5300,474.9200,472.4500,474.8400,52024922
2023-12-18,470.9800,472.9800,469.8929,471.9700,70375285
2023-12-15,469.4900,470.7000,467.4263,469.3300,141553673
2023-12-14,472.5000,473.7300,469.2500,472.0100,119026049
2023-12-13,464.4900,470.7599,464.1200,470.5000,93277960
2023-12-12,461.6300,464.2000,460.6000,464.1000,68327617
2023-12-11,459.6900,462.1700,459.4700,461.9900,65002247
2023-12-08,457.4600,460.7450,457.2100,460.2000,83194404
2023-12-07,456.9100,458.9000,456.2900,458.2300,66995446
2023-12-06,458.8100,458.8400,454.3100,454.7600,67701116
2023-12-05,455.2600,457.5900,454.8700,456.6000,69793469
2023-12-04,455.6000,459.1206,454.3400,456.6900,72430888
2023-12-01,455.7700,459.6500,455.1600,459.1000,89183400
2023-11-30,455.4800,456.7600,453.3400,456.4000,79752700
2023-11-29,457.1500,458.3200,454.2000,454.6100,63145992
2023-11-28,454.0800,456.2700,453.5000,454.9300,62115011
2023-11-27,454.6500,455.4901,454.0799,454.4800,50505985
2023-11-24,455.0700,455.5000,454.7300,455.3000,29737375
2023-11-22,454.9800,456.3800,453.8895,455.0200,59446573
2023-11-21,453.1842,454.1310,451.9599,453.2700,49244639
2023-11-20,450.5300,455.1250,450.5200,454.2600,70055633
2023-11-17,450.2400,451.4200,449.2900,450.7900,83193902
2023-11-16,449.2200,450.5600,448.1200,450.2300,66665797
2023-11-15,450.1100,451.3800,448.8000,449.6800,77327573
2023-11-14,446.3200,450.0600,446.0900,448.7300,97176935
2023-11-13,439.2300,441.3300,438.4200,440.1900,52236068
