name,family,params,trainReturn,trainSharpe,trainMDD,trainTrades,trainExposure,testReturn,testSharpe,testMDD,testTrades,testExposure,fitness,feasible
BBreak_n14_k1.97_h7,BBreak,"{""n"": 14, ""k"": 1.97, ""h"": 7}",0.08160234787038934,0.26969447316620737,-0.17398655902700855,36,0.3664021164021164,0.1068637589646464,1.0505428507303285,-0.0465690430568505,13,0.384,-1000000000.0,0
BBreak_n21_k1.72_h6,BBreak,"{""n"": 21, ""k"": 1.72, ""h"": 6}",0.1119841183870045,0.31797448769287856,-0.15464580560624697,36,0.4497354497354497,0.16742254348964347,1.3289307745348133,-0.06498794716877976,9,0.596,-0.6189456354812994,1
BBreak_n26_k1.52_h8,BBreak,"{""n"": 26, ""k"": 1.52, ""h"": 8}",0.30527662936291633,0.6930152505261143,-0.15428856320053908,26,0.4894179894179894,0.28949655506053373,2.4547760322308196,-0.04733265428108191,5,0.5,-1000000000.0,0
BBreak_n12_k1.24_h8,BBreak,"{""n"": 12, ""k"": 1.24, ""h"": 8}",0.21425068450125617,0.4835834052081422,-0.23306338386462622,56,0.5238095238095238,0.34176580985451355,2.4384089439701,-0.05079791510629683,15,0.564,7.0671858933182445,1
BBreak_n10_k1.45_h6,BBreak,"{""n"": 10, ""k"": 1.45, ""h"": 6}",-0.0602379836695488,-0.05117189499855019,-0.3112358968932102,68,0.46164021164021163,0.26520663326057803,1.9591698912177549,-0.07624841195303489,17,0.54,-3.161392226193227,1
BBreak_n35_k0.4_h8,BBreak,"{""n"": 35, ""k"": 0.4, ""h"": 8}",0.18644230949056273,0.43550082784744293,-0.19164140513976735,26,0.5370370370370371,0.24633012320660086,1.8624892553223642,-0.08623686146688037,11,0.652,1.2313764352851275,1
BBreak_n25_k0.43_h6,BBreak,"{""n"": 25, ""k"": 0.43, ""h"": 6}",0.24034910141484533,0.5164296465520422,-0.2611256479669186,38,0.5793650793650794,0.17436022528096307,1.3578866566880774,-0.10911087008084897,11,0.648,-4.862945486816645,1
BBreak_n33_k1.0_h3,BBreak,"{""n"": 33, ""k"": 1.0, ""h"": 3}",0.15674005285641335,0.39866140294587604,-0.176540846930325,26,0.503968253968254,0.3208408980623887,2.6060305288936845,-0.04843289085763025,5,0.532,-1000000000.0,0
BBreak_n17_k1.39_h4,BBreak,"{""n"": 17, ""k"": 1.39, ""h"": 4}",0.1343462025369131,0.3561415989271628,-0.18293974711719285,44,0.4801587301587302,0.1706991729049676,1.272518037126779,-0.09799937236996459,17,0.56,-4.342877273690567,1
BBreak_n17_k1.25_h4,BBreak,"{""n"": 17, ""k"": 1.25, ""h"": 4}",0.12024466030095815,0.3250743638358519,-0.18527335836106984,46,0.5079365079365079,0.16764446011362222,1.2479013390856324,-0.09742036814811716,17,0.592,-4.656921910866866,1
BBreak_n36_k1.98_h10,BBreak,"{""n"": 36, ""k"": 1.98, ""h"": 10}",-0.061947647757059965,-0.12127333669563099,-0.23810448093348957,18,0.3082010582010582,0.2715867923165334,2.3652709362824993,-0.0355159536133135,3,0.48,-1000000000.0,0
BBreak_n4_k1.31_h7,BBreak,"{""n"": 4, ""k"": 1.31, ""h"": 7}",-5.7515855676371075e-05,0.09525835049764131,-0.38205386898273686,96,0.5873015873015873,0.18970829771338527,1.323273584659696,-0.09262442094146428,32,0.616,-10.509540275102456,1
