name,family,params,trainReturn,trainSharpe,trainMDD,trainTrades,trainExposure,testReturn,testSharpe,testMDD,testTrades,testExposure,fitness,feasible
BBreak_n20_k1.53_h6,BBreak,"{""n"": 20, ""k"": 1.53, ""h"": 6}",-0.03860345103072016,-0.012831736083549287,-0.2717947678741851,40,0.46825396825396826,0.1121214701056037,0.9644386033604115,-0.06052974729985683,13,0.536,-7.098106523723896,1
BBreak_n16_k1.14_h7,BBreak,"{""n"": 16, ""k"": 1.14, ""h"": 7}",0.2254129397784861,0.5072145912083261,-0.1862150364513061,44,0.533068783068783,0.21873087141951597,1.5577611213201537,-0.08451935467262195,15,0.608,-0.05563726577682382,1
BBreak_n9_k1.54_h9,BBreak,"{""n"": 9, ""k"": 1.54, ""h"": 9}",-0.09115435708302011,-0.10451057684795434,-0.4267057052201191,60,0.5,0.28679893381405397,2.0657363871050762,-0.07624841195303489,19,0.548,-4.927346602059065,1
BBreak_n10_k1.29_h8,BBreak,"{""n"": 10, ""k"": 1.29, ""h"": 8}",0.06869422727693175,0.216647739152233,-0.33081330500625383,62,0.5211640211640212,0.35548907597889334,2.360380870706323,-0.07624841195303544,15,0.58,1.9799581719103152,1
BBreak_n21_k1.09_h5,BBreak,"{""n"": 21, ""k"": 1.09, ""h"": 5}",0.19006160198820776,0.45824932466090995,-0.18380716197729663,40,0.5092592592592593,0.12768372059936262,1.0055133547939692,-0.10979947375410815,13,0.64,-6.243715958890856,1
BBreak_n17_k1.39_h6,BBreak,"{""n"": 17, ""k"": 1.39, ""h"": 6}",0.24767609590003015,0.5621126385479088,-0.14052129204574604,40,0.4894179894179894,0.17477318509490702,1.298361048506607,-0.09799937236996437,15,0.564,-1.9032161128408331,1
BBreak_n14_k1.16_h5,BBreak,"{""n"": 14, ""k"": 1.16, ""h"": 5}",0.07258704925750359,0.22549049395702916,-0.2592430202345065,60,0.5277777777777778,0.3251472255265315,2.255379477089644,-0.04129157554276264,17,0.592,4.791514428527959,1
BBreak_n24_k1.39_h6,BBreak,"{""n"": 24, ""k"": 1.39, ""h"": 6}",0.28614446482067035,0.638124986183767,-0.15428856320053896,30,0.5052910052910053,0.18203304965471911,1.430198819430959,-0.08225991088635487,9,0.596,0.5512563935276615,1
BBreak_n7_k1.18_h6,BBreak,"{""n"": 7, ""k"": 1.18, ""h"": 6}",0.022598400743661706,0.1294443068839692,-0.24125811640567174,88,0.5211640211640212,0.29580590326808753,2.0442977570301526,-0.07014213079834997,31,0.584,-0.650594052428862,1
BBreak_n13_k1.42_h6,BBreak,"{""n"": 13, ""k"": 1.42, ""h"": 6}",0.13912763288632513,0.35609768599665265,-0.19421417610570957,54,0.4801587301587302,0.36343568566415363,2.548459453189508,-0.038567994874080025,15,0.56,9.025253457425457,1
